uid,ciudadorigen,ciudaddestino,horasalida,duracion,medio,capacidad,precio,asiento,fechacompra,fechaviaje
1,Roma,Florencia,08:54:00,5,Tren,800,35,752,2020-03-02 00:00:00,2020-10-28
1,Chantilly,París,11:12:00,4,Tren,800,32,325,2019-11-04 00:00:00,2020-02-02
2,París,Florencia,23:50:00,3,Tren,800,40,469,2018-12-23 00:00:00,2019-04-22
2,Nancy,Chantilly,14:45:00,6,Bus,45,20,16,2019-11-09 00:00:00,2020-01-08
2,Nancy,Chantilly,14:45:00,6,Bus,45,20,18,2020-01-20 00:00:00,2020-02-19
2,París,Bruselas,15:45:00,2,Avión,150,100,96,2018-09-04 00:00:00,2019-07-01
3,París,Florencia,23:23:00,3,Tren,800,40,613,2020-08-05 00:00:00,2021-05-02
3,Westminster,Bruselas,20:23:00,3,Avión,200,150,137,2019-01-09 00:00:00,2019-04-09
3,París,Chantilly,09:56:00,4,Tren,800,32,144,2020-12-19 00:00:00,2021-03-19
3,París,Bruselas,15:45:00,2,Avión,150,100,141,2018-02-09 00:00:00,2018-04-10
3,Chantilly,París,11:12:00,6,Bus,45,20,29,2018-05-22 00:00:00,2018-11-18
4,Antwerp,Bruselas,23:32:00,1,Tren,800,15,708,2019-11-08 00:00:00,2020-05-06
4,Dresde,Bruselas,11:22:00,3,Tren,800,47,335,2018-05-04 00:00:00,2018-12-30
4,Florencia,Roma,11:34:00,5,Tren,800,35,284,2020-12-07 00:00:00,2021-09-03
4,Milán,Dresde,10:43:00,3,Tren,800,42,370,2019-03-11 00:00:00,2019-08-08
5,París,Bruselas,13:42:00,5,Tren,800,45,75,2020-05-16 00:00:00,2020-11-12
5,Nancy,Chantilly,23:23:00,6,Bus,45,20,30,2018-06-09 00:00:00,2019-02-04
5,Milán,Dresde,10:43:00,3,Tren,800,42,601,2019-03-24 00:00:00,2019-09-20
5,Florencia,Milán,21:55:00,3,Tren,800,32,517,2019-09-18 00:00:00,2020-07-14
